No.,Time,Source,Destination,,Time 1,Time 2,Delay ( Time 2 - Time 1 ),,Delay 1,Delay 2,,Jitter ( Delay 2 - Delay 1 )
2878,27.063513,192.168.43.73,54.225.227.202,,27.063513,27.072124,0.008611,,-0.024755,0.033366,,0.058121
2879,27.072124,192.168.43.73,74.125.24.119,,27.072124,27.10549,0.033366,,0.016588,0.016778,,0.00019
2880,27.10549,192.168.43.73,172.217.194.132,,27.10549,27.122268,0.016778,,0.016778,0,,-0.016778
2881,27.122268,74.125.24.119,192.168.43.73,,27.122268,27.122268,0,,-0.025305,0.025305,,0.05061
2882,27.122268,54.225.227.202,192.168.43.73,,27.122268,27.147573,0.025305,,0.009642,0.015663,,0.006021
2883,27.147573,192.168.43.73,204.79.197.203,,27.147573,27.163236,0.015663,,-0.014607,0.03027,,0.044877
2884,27.163236,172.217.194.132,192.168.43.73,,27.163236,27.193506,0.03027,,-0.817338,0.847608,,1.664946
2885,27.193506,204.79.197.203,192.168.43.73,,27.193506,28.041114,0.847608,,0.783441,0.064167,,-0.719274
3006,28.041114,192.168.43.73,40.90.23.247,,28.041114,28.105281,0.064167,,0.048079,0.016088,,-0.031991
3007,28.105281,192.168.43.73,20.184.57.167,,28.105281,28.121369,0.016088,,-0.041244,0.057332,,0.098576
3008,28.121369,40.90.23.247,192.168.43.73,,28.121369,28.178701,0.057332,,0.056774,0.000558,,-0.056216
3009,28.178701,20.184.57.167,192.168.43.73,,28.178701,28.179259,0.000558,,-0.031547,0.032105,,0.063652
3010,28.179259,192.168.43.73,34.237.179.253,,28.179259,28.211364,0.032105,,-0.005412,0.037517,,0.042929
3011,28.211364,192.168.43.73,54.225.121.9,,28.211364,28.248881,0.037517,,0.004439,0.033078,,0.028639
3012,28.248881,34.237.179.253,192.168.43.73,,28.248881,28.281959,0.033078,,-0.538146,0.571224,,1.10937
3013,28.281959,54.225.121.9,192.168.43.73,,28.281959,28.853183,0.571224,,0.528927,0.042297,,-0.48663
3015,28.853183,192.168.43.73,74.125.24.156,,28.853183,28.89548,0.042297,,-1.015695,1.057992,,2.073687
3016,28.89548,74.125.24.156,192.168.43.73,,28.89548,29.953472,1.057992,,1.05789,0.000102,,-1.057788
3017,29.953472,23.9.184.115,192.168.43.73,,29.953472,29.953574,0.000102,,8.6E-05,1.6E-05,,-7E-05
3018,29.953574,192.168.43.73,23.9.184.115,,29.953574,29.95359,1.6E-05,,-0.050097,0.050113,,0.10021
3019,29.95359,192.168.43.73,23.9.184.115,,29.95359,30.003703,0.050113,,-0.706665,0.756778,,1.463443
3020,30.003703,23.9.184.115,192.168.43.73,,30.003703,30.760481,0.756778,,0.701114,0.055664,,-0.64545
3021,30.760481,192.168.43.73,74.125.200.148,,30.760481,30.816145,0.055664,,-1.903537,1.959201,,3.862738
3022,30.816145,74.125.200.148,192.168.43.73,,30.816145,32.775346,1.959201,,1.959201,0,,-1.959201
3130,32.775346,192.168.43.73,167.71.199.22,,32.775346,32.775346,0,,-0.000154,0.000154,,0.000308
3131,32.775346,192.168.43.73,167.71.200.128,,32.775346,32.7755,0.000154,,-0.067928,0.068082,,0.13601
3132,32.7755,192.168.43.73,68.183.180.131,,32.7755,32.843582,0.068082,,0.068082,0,,-0.068082
3134,32.843582,167.71.199.22,192.168.43.73,,32.843582,32.843582,0,,0,0,,0
3135,32.843582,167.71.200.128,192.168.43.73,,32.843582,32.843582,0,,-0.138273,0.138273,,0.276546
3136,32.843582,68.183.180.131,192.168.43.73,,32.843582,32.981855,0.138273,,0.138246,2.7E-05,,-0.138219
3137,32.981855,192.168.43.73,167.71.199.22,,32.981855,32.981882,2.7E-05,,2.7E-05,0,,-2.7E-05
3138,32.981882,192.168.43.73,167.71.200.128,,32.981882,32.981882,0,,-0.021309,0.021309,,0.042618
3139,32.981882,192.168.43.73,68.183.180.131,,32.981882,33.003191,0.021309,,0.02121,9.9E-05,,-0.021111
3140,33.003191,117.18.237.29,192.168.43.73,,33.003191,33.00329,9.9E-05,,6.2E-05,3.7E-05,,-2.5E-05
3141,33.00329,192.168.43.73,117.18.237.29,,33.00329,33.003327,3.7E-05,,-0.038595,0.038632,,0.077227
3142,33.003327,192.168.43.73,117.18.237.29,,33.003327,33.041959,0.038632,,0.038459,0.000173,,-0.038286
3143,33.041959,167.71.199.22,192.168.43.73,,33.041959,33.042132,0.000173,,0.000125,4.8E-05,,-7.7E-05
3144,33.042132,68.183.180.131,192.168.43.73,,33.042132,33.04218,4.8E-05,,-0.012652,0.0127,,0.025352
3145,33.04218,167.71.200.128,192.168.43.73,,33.04218,33.05488,0.0127,,-0.215094,0.227794,,0.442888
3146,33.05488,117.18.237.29,192.168.43.73,,33.05488,33.282674,0.227794,,0.227794,0,,-0.227794
3147,33.282674,192.168.43.73,161.35.50.91,,33.282674,33.282674,0,,-0.016046,0.016046,,0.032092
3148,33.282674,192.168.43.73,161.35.50.90,,33.282674,33.29872,0.016046,,-0.047906,0.063952,,0.111858
3149,33.29872,192.168.43.73,192.241.244.202,,33.29872,33.362672,0.063952,,0.063774,0.000178,,-0.063596
3150,33.362672,161.35.50.91,192.168.43.73,,33.362672,33.36285,0.000178,,0.000124,5.4E-05,,-7E-05
3151,33.36285,161.35.50.90,192.168.43.73,,33.36285,33.362904,5.4E-05,,-0.125925,0.125979,,0.251904
